Player,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Level
Derrick Jones Jr.,23.0,49.142857142857146,24.285714285714285,24.857142857142858,918.5571428571428,307.42857142857144,114.28571428571428,225.14285714285717,50.01428571428572,23.0,75.57142857142857,28.714285714285715,55.85714285714285,79.28571428571429,70.55714285714285,59.85714285714285,99.71428571428572,159.57142857142858,33.0,25.714285714285715,30.428571428571427,32.857142857142854,94.0,712.8571428571429,0.0,0.0,6.571428571428571,Moyen
Derrick Rose,29.5,42.0,20.3,21.7,1138.18,652.4,258.6,576.0,43.63,36.1,113.5,31.31,99.1,116.6,86.72,27.8,93.0,120.8,178.1,89.9,28.5,11.6,45.7,1095.1,1.3,0.0,-14.4,Moyen
Derrick Walton Jr.,25.0,15.0,8.0,7.0,167.9,33.666666666666664,10.666666666666666,30.0,33.76666666666667,6.666666666666667,18.0,35.333333333333336,5.666666666666667,6.333333333333333,92.6,2.0,12.0,14.0,21.33333333333333,6.0,7.0,2.333333333333333,12.0,104.66666666666669,0.0,0.0,-13.666666666666666,Faible
Derrick White,25.5,57.5,32.5,25.0,1520.8333333333333,674.0,233.66666666666663,523.1666666666666,45.26666666666667,80.5,229.0,39.3,126.16666666666669,149.16666666666666,81.91666666666667,29.666666666666668,163.16666666666666,192.83333333333331,221.16666666666663,75.16666666666667,43.16666666666666,46.5,124.16666666666669,1431.0,1.5,0.0,168.33333333333334,Moyen
Derrick Williams,24.5,60.333333333333336,22.33333333333333,38.0,1240.9,537.6666666666666,187.33333333333331,427.6666666666667,40.78333333333333,35.666666666666664,116.66666666666669,25.183333333333334,127.33333333333331,178.66666666666666,58.63333333333333,45.66666666666666,184.66666666666663,230.33333333333331,42.5,53.66666666666666,28.166666666666668,12.833333333333334,72.83333333333333,947.1666666666666,3.0,0.0,-151.16666666666666,Moyen
Desmond Bane,24.0,67.33333333333333,42.333333333333336,25.0,1875.5666666666664,1085.3333333333333,397.3333333333333,846.3333333333334,46.96666666666667,170.33333333333334,400.3333333333333,42.53333333333333,120.33333333333331,136.33333333333334,86.73333333333333,40.0,238.33333333333331,278.3333333333333,193.33333333333331,98.66666666666669,63.0,22.33333333333333,157.0,1866.6666666666667,0.3333333333333333,0.0,243.0,Moyen
Devin Booker,22.5,66.25,30.875,35.375,2238.4375,1586.0,556.625,1208.125,45.975,136.125,381.875,35.5375,336.625,387.75,86.5625,36.5,226.625,263.125,315.125,204.625,56.125,18.25,196.0,2393.0,5.125,0.0,-13.75,Moyen
Devin Cannady,25.5,6.5,1.0,5.5,109.4,42.0,13.0,36.0,36.7,10.5,26.5,39.0,5.5,7.0,78.55000000000001,0.5,5.0,5.5,5.5,3.5,5.0,2.0,9.0,74.5,0.0,0.0,-17.0,Faible
Devin Ebanks,23.0,19.0,8.0,11.0,196.6,65.0,24.0,73.0,32.9,6.0,22.0,27.3,11.0,14.0,78.6,10.0,31.0,41.0,10.0,11.0,3.0,1.0,23.0,130.0,0.0,0.0,-22.0,Faible
Devin Harris,33.0,63.142857142857146,32.714285714285715,30.428571428571427,1243.1571428571428,500.57142857142856,161.57142857142858,391.0,41.02857142857143,64.85714285714286,194.14285714285717,33.05714285714286,112.57142857142856,143.42857142857142,78.39999999999999,11.428571428571429,108.57142857142856,120.0,162.85714285714286,69.57142857142857,50.71428571428572,11.0,119.71428571428572,1004.4285714285714,0.1428571428571428,0.0,52.285714285714285,Moyen
Devin Robinson,23.5,4.0,0.5,3.5,53.85,24.5,10.0,17.5,46.35,0.0,1.0,0.0,4.5,7.0,32.15,4.0,8.5,12.5,3.0,1.0,2.5,3.0,6.5,59.5,0.0,0.0,0.5,Faible
Devin Vassell,21.0,57.0,23.666666666666668,33.333333333333336,1390.3333333333333,638.6666666666666,236.66666666666663,554.0,42.4,97.33333333333331,265.3333333333333,36.5,68.0,83.33333333333333,82.03333333333333,25.33333333333333,184.0,209.33333333333331,109.33333333333331,45.66666666666666,54.0,25.33333333333333,96.0,1246.3333333333333,0.3333333333333333,0.0,-109.33333333333331,Moyen
