,precision,recall,f1-score,support,Groupe
Darius Morris,0.0,0.0,0.0,1.0,Faible
Darko Milicic,0.0,0.0,0.0,0.0,Faible
Darrell Arthur,0.0,0.0,0.0,0.0,Faible
Darren Collison,0.2222222222222222,0.6666666666666666,0.3333333333333333,3.0,Faible
Darrun Hilliard,0.0,0.0,0.0,0.0,Faible
Daryl Macon,0.0,0.0,0.0,0.0,Faible
David Duke Jr.,0.0,0.0,0.0,1.0,Faible
David Lee,0.0,0.0,0.0,1.0,Faible
David Nwaba,0.0,0.0,0.0,2.0,Faible
David Roddy,0.0,0.0,0.0,1.0,Faible
David Stockton,0.0,0.0,0.0,1.0,Faible
David West,0.3333333333333333,1.0,0.5,1.0,Faible
Davis Bertans,0.0,0.0,0.0,2.0,Faible
Davon Reed,0.0,0.0,0.0,1.0,Faible
Day'Ron Sharpe,0.0,0.0,0.0,1.0,Faible
De'Aaron Fox,0.25,0.5,0.3333333333333333,2.0,Faible
De'Andre Hunter,0.0,0.0,0.0,3.0,Faible
De'Anthony Melton,0.0,0.0,0.0,0.0,Faible
DeAndre Jordan,0.4,0.4,0.4000000000000001,5.0,Faible
DeAndre Liggins,0.5,0.3333333333333333,0.4,3.0,Faible
DeAndre' Bembry,0.0,0.0,0.0,1.0,Faible
DeJon Jarreau,0.0,0.0,0.0,1.0,Faible
DeJuan Blair,0.0,0.0,0.0,0.0,Faible
DeMar DeRozan,0.0,0.0,0.0,3.0,Faible
DeMarcus Cousins,0.0,0.0,0.0,2.0,Faible
DeMarre Carroll,0.0,0.0,0.0,2.0,Faible
DeQuan Jones,0.0,0.0,0.0,1.0,Faible
Dean Wade,0.0,0.0,0.0,0.0,Faible
Deandre Ayton,0.0,0.0,0.0,1.0,Faible
Deividas Sirvydis,0.0,0.0,0.0,1.0,Faible
Dejounte Murray,0.0,0.0,0.0,0.0,Faible
Delon Wright,0.5,0.2,0.28571428571428575,5.0,Faible
Demetrius Jackson,0.0,0.0,0.0,1.0,Faible
Deng Adel,0.0,0.0,0.0,0.0,Faible
Deni Avdija,0.0,0.0,0.0,2.0,Faible
Dennis Schroder,0.14285714285714285,0.3333333333333333,0.2,3.0,Faible
Dennis Smith Jr.,0.0,0.0,0.0,3.0,Faible
Denzel Valentine,0.0,0.0,0.0,0.0,Faible
Deonte Burton,0.0,0.0,0.0,1.0,Faible
Derek Fisher,0.0,0.0,0.0,1.0,Faible
Dereon Seabron,0.0,0.0,0.0,0.0,Faible
Deron Williams,0.0,0.0,0.0,1.0,Faible
Derrick Favors,0.125,0.2,0.15384615384615385,5.0,Faible
Derrick Jones Jr.,0.5,0.4,0.4444444444444445,5.0,Faible
Derrick Rose,0.0,0.0,0.0,4.0,Faible
Derrick Walton Jr.,0.0,0.0,0.0,1.0,Faible
Derrick White,0.0,0.0,0.0,3.0,Faible
Derrick Williams,0.0,0.0,0.0,4.0,Faible
Desmond Bane,0.0,0.0,0.0,2.0,Faible
Devin Booker,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,Faible
Devin Cannady,0.0,0.0,0.0,1.0,Faible
Devin Ebanks,0.0,0.0,0.0,0.0,Faible
Devin Harris,0.1,1.0,0.18181818181818182,1.0,Faible
Devin Robinson,0.0,0.0,0.0,1.0,Faible
Devin Vassell,0.0,0.0,0.0,1.0,Faible
Devon Dotson,0.0,0.0,0.0,1.0,Faible
Devon Hall,0.0,0.0,0.0,0.0,Faible
Devontae Cacok,0.0,0.0,0.0,1.0,Faible
Devonte' Graham,0.0,0.0,0.0,1.0,Faible
Devyn Marble,0.0,0.0,0.0,1.0,Faible
Dewan Hernandez,0.0,0.0,0.0,1.0,Faible
Dewayne Dedmon,0.0,0.0,0.0,3.0,Faible
Deyonta Davis,0.0,0.0,0.0,0.0,Faible
Didi Louzada,0.0,0.0,0.0,1.0,Faible
Dillon Brooks,0.0,0.0,0.0,4.0,Faible
Dion Waiters,0.0,0.0,0.0,3.0,Faible
Dionte Christmas,0.0,0.0,0.0,0.0,Faible
Dirk Nowitzki,0.5,1.0,0.6666666666666666,1.0,Faible
Domantas Sabonis,0.4,0.6666666666666666,0.5,3.0,Faible
Donald Sloan,0.0,0.0,0.0,1.0,Faible
Donatas Motiejunas,0.0,0.0,0.0,1.0,Faible
Donovan Mitchell,0.0,0.0,0.0,2.0,Faible
Donta Hall,0.0,0.0,0.0,1.0,Faible
Donte DiVincenzo,0.0,0.0,0.0,1.0,Faible
Donte Grantham,0.0,0.0,0.0,0.0,Faible
Dorell Wright,0.0,0.0,0.0,0.0,Faible
Dorian Finney-Smith,0.0,0.0,0.0,2.0,Faible
Doron Lamb,0.0,0.0,0.0,1.0,Faible
Doug McDermott,0.0,0.0,0.0,3.0,Faible
Dragan Bender,0.0,0.0,0.0,2.0,Faible
Draymond Green,1.0,0.5,0.6666666666666666,4.0,Fort
Drew Eubanks,0.0,0.0,0.0,2.0,Faible
Drew Gooden,0.0,0.0,0.0,1.0,Faible
Drew Gordon,0.0,0.0,0.0,1.0,Faible
Dru Smith,0.0,0.0,0.0,0.0,Faible
Duane Washington Jr.,0.0,0.0,0.0,0.0,Faible
Duncan Robinson,0.0,0.0,0.0,0.0,Faible
Dwayne Bacon,0.0,0.0,0.0,1.0,Faible
Dwight Buycks,0.0,0.0,0.0,2.0,Faible
Dwight Howard,0.25,0.5,0.3333333333333333,2.0,Faible
Dwight Powell,0.0,0.0,0.0,0.0,Faible
Dwyane Wade,0.0,0.0,0.0,1.0,Faible
Dylan Windler,0.0,0.0,0.0,0.0,Faible
Dyson Daniels,0.0,0.0,0.0,1.0,Faible
Dzanan Musa,0.0,0.0,0.0,1.0,Faible
E'Twaun Moore,0.0,0.0,0.0,0.0,Faible
Earl Barron,0.0,0.0,0.0,0.0,Faible
Earl Clark,0.0,0.0,0.0,1.0,Faible
Ed Davis,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0,Faible
Edmond Sumner,0.0,0.0,0.0,1.0,Faible
Edy Tavares,0.0,0.0,0.0,0.0,Faible
Ekpe Udoh,0.0,0.0,0.0,4.0,Faible
Elfrid Payton,0.0,0.0,0.0,6.0,Faible
Elie Okobo,0.0,0.0,0.0,0.0,Faible
Elijah Hughes,0.0,0.0,0.0,1.0,Faible
Elijah Millsap,0.0,0.0,0.0,1.0,Faible
Elliot Williams,0.0,0.0,0.0,0.0,Faible
Elton Brand,0.3333333333333333,1.0,0.5,1.0,Faible
Emanuel Terry,0.0,0.0,0.0,1.0,Faible
Emeka Okafor,0.0,0.0,0.0,1.0,Faible
Emmanuel Mudiay,0.16666666666666666,0.5,0.25,2.0,Faible
Enes Freedom,0.5,0.3333333333333333,0.4,3.0,Faible
Eric Bledsoe,0.0,0.0,0.0,2.0,Faible
Eric Gordon,0.0,0.0,0.0,1.0,Faible
Eric Maynor,0.0,0.0,0.0,1.0,Faible
Eric Mika,0.0,0.0,0.0,0.0,Faible
Eric Moreland,0.0,0.0,0.0,1.0,Faible
Eric Paschall,0.0,0.0,0.0,1.0,Faible
Erick Green,0.0,0.0,0.0,1.0,Faible
Ersan Ilyasova,0.0,0.0,0.0,4.0,Faible
Evan Fournier,0.0,0.0,0.0,4.0,Faible
Evan Mobley,0.0,0.0,0.0,0.0,Faible
Evan Turner,0.0,0.0,0.0,2.0,Faible
Fab Melo,0.0,0.0,0.0,1.0,Faible
Feron Hunt,0.0,0.0,0.0,1.0,Faible
Frank Jackson,0.0,0.0,0.0,1.0,Faible
Frank Kaminsky,0.0,0.0,0.0,2.0,Faible
Frank Mason III,0.0,0.0,0.0,1.0,Faible
Frank Ntilikina,0.0,0.0,0.0,3.0,Faible
Fred VanVleet,0.2,0.3333333333333333,0.25,3.0,Faible
Freddie Gillespie,0.0,0.0,0.0,1.0,Faible
Furkan Aldemir,0.0,0.0,0.0,0.0,Faible
Furkan Korkmaz,0.0,0.0,0.0,0.0,Faible
Gabe Vincent,0.0,0.0,0.0,1.0,Faible
Gabe York,0.0,0.0,0.0,1.0,Faible
Gabriel Deck,0.0,0.0,0.0,0.0,Faible
Gabriel Lundberg,0.0,0.0,0.0,1.0,Faible
Gal Mekel,0.0,0.0,0.0,0.0,Faible
Garrett Temple,0.4,0.4,0.4000000000000001,5.0,Faible
Garrison Mathews,0.0,0.0,0.0,2.0,Faible
Gary Harris,0.0,0.0,0.0,3.0,Faible
Gary Neal,0.0,0.0,0.0,1.0,Faible
Gary Payton II,0.0,0.0,0.0,1.0,Faible
Gary Trent Jr.,0.0,0.0,0.0,1.0,Faible
George Hill,0.0,0.0,0.0,4.0,Faible
George King,0.0,0.0,0.0,0.0,Faible
Georges Niang,0.0,0.0,0.0,2.0,Faible
Georgios Kalaitzakis,0.0,0.0,0.0,0.0,Faible
Georgios Papagiannis,0.0,0.0,0.0,2.0,Faible
Gerald Green,0.0,0.0,0.0,1.0,Faible
Gerald Henderson,0.0,0.0,0.0,3.0,Faible
Gerald Wallace,0.0,0.0,0.0,1.0,Faible
Giannis Antetokounmpo,0.75,0.75,0.75,4.0,Moyen
Gigi Datome,0.0,0.0,0.0,0.0,Faible
Glen Davis,0.0,0.0,0.0,1.0,Faible
Glen Rice,0.0,0.0,0.0,1.0,Faible
Glenn Robinson III,0.0,0.0,0.0,0.0,Faible
Goga Bitadze,0.0,0.0,0.0,2.0,Faible
Goran Dragic,0.1,0.3333333333333333,0.15384615384615383,3.0,Faible
Gordon Hayward,0.0,0.0,0.0,4.0,Faible
Gorgui Dieng,0.3333333333333333,0.25,0.28571428571428575,4.0,Faible
Grant Hill,0.0,0.0,0.0,0.0,Faible
Grant Williams,0.0,0.0,0.0,2.0,Faible
Grayson Allen,0.0,0.0,0.0,2.0,Faible
Greg Brown III,0.0,0.0,0.0,1.0,Faible
Greg Monroe,0.5,1.0,0.6666666666666666,2.0,Faible
Greg Oden,0.0,0.0,0.0,1.0,Faible
Greg Smith,0.0,0.0,0.0,0.0,Faible
Greg Stiemsma,0.0,0.0,0.0,0.0,Faible
