Player,PTS,Level
Justin Champagnie,46.0,
Justin Dentmon,0.0,
Justin Hamilton,229.0,Moyen
Justin Harper,12.5,
Justin Holiday,521.0,Élevé
Justin Jackson,279.3333333333333,Moyen
Justin James,114.0,Faible
Justin Minaya,17.0,
Justin Patton,21.5,
Justin Robinson,37.333333333333336,
Justin Wright-Foreman,19.0,
Justise Winslow,353.625,Moyen
Jusuf Nurkic,634.3333333333334,Élevé
Juwan Howard,21.0,
Juwan Morgan,25.33333333333333,
KJ Martin,718.0,Élevé
KJ McDaniels,260.6666666666667,Moyen
KZ Okpala,55.5,Faible
Kadeem Allen,86.0,Faible
