Player,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Victor Oladipo,50.4,24.0,26.4,1624.6799999999998,850.3,311.8,715.2,43.13,81.4,234.9,34.79,145.3,184.3,77.63000000000001,28.9,195.6,224.5,197.0,126.6,80.5,23.0,120.2,1599.2,2.5,0.2,-7.9
Vince Carter,69.375,33.5,35.875,1399.25,574.125,197.5,495.0,39.1375,98.625,268.75,35.75,80.5,100.875,78.575,35.75,163.0,198.75,109.75,57.375,48.125,27.875,141.0,1147.875,0.25,0.0,24.5
Vince Williams Jr.,15.0,7.0,8.0,104.6,30.0,12.0,40.0,30.0,4.0,28.0,14.3,2.0,2.0,100.0,4.0,11.0,15.0,4.0,5.0,6.0,2.0,12.0,73.0,0.0,0.0,-34.0
Vincent Edwards,2.0,1.0,1.0,15.7,3.0,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,-2.0
Vincent Hunter,4.0,0.0,4.0,7.4,6.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,6.0
Vincent Poirier,16.0,13.0,3.0,84.55,24.5,10.0,24.0,36.1,0.5,1.5,25.0,4.0,6.5,59.5,9.5,19.0,28.5,5.0,6.0,1.0,6.0,16.5,81.5,0.0,0.0,-18.0
Vit Krejci,29.5,11.5,18.0,427.65,111.5,41.5,102.0,40.6,18.5,59.5,28.25,10.0,12.0,68.2,12.0,51.5,63.5,37.0,17.0,12.0,4.5,41.0,276.0,0.5,0.0,-91.0
Vitor Faverani,37.0,13.0,24.0,487.6,164.0,64.0,147.0,43.5,12.0,40.0,30.0,24.0,37.0,64.9,42.0,86.0,128.0,16.0,41.0,14.0,27.0,74.0,424.0,1.0,0.0,-97.0
Vladimir Radmanovic,25.0,11.0,14.0,143.6,33.0,13.0,43.0,30.2,5.0,27.0,18.5,2.0,3.0,66.7,10.0,18.0,28.0,8.0,7.0,8.0,4.0,29.0,108.0,0.0,0.0,-38.0
Vlatko Cancar,32.5,20.0,12.5,347.95,115.25,42.5,88.75,47.375,15.0,41.5,34.925,15.25,18.0,83.475,12.0,42.75,54.75,28.5,15.75,9.0,5.0,31.75,250.25,0.25,0.0,-43.5
